model_name_short,accuracy_mean,accuracy_std,accuracy_count,total_cost_mean,total_cost_std,total_cost_min,total_cost_max,pareto_optimal
gemini-2.0-flash,0.18,0.2545584412271571,2,2.20535745,2.1164685303805317,0.7087882000000001,3.7019267000000005,True
deepseek-ai/DeepSeek-V3,0.4,,1,11.672885,,11.672885,11.672885,True
o3-mini-2025-01-31,0.2,0.28284271247461906,2,12.087636499999999,11.266271109198009,4.1211798,20.054093199999997,False
deepseek-ai/DeepSeek-R1,0.38,,1,32.325201,,32.325201,32.325201,False
gpt-4o-2024-11-20,0.30000000000000004,0.1414213562373095,2,40.2563,8.784762309274509,34.044535,46.468065,False
claude-3-7-sonnet-20250219,0.45999999999999996,0.1979898987322333,2,40.488512,4.602616021499292,37.233971000000004,43.743053,True
