agent_name,benchmark_name,date,run_id,agent_args,run_command,agent_name_short,model_name_short,accuracy,total_cost,latencies_per_task,mean_latency
CORE-Agent,corebench_hard,2025-04-20,corebench_hard_coreagent_1745118876,"{'model_name': 'o3-2025-04-16', 'benchmark_name': 'corebench_hard'}",hal-eval --benchmark corebench_hard --agent_dir agents/core_agent/ --agent_function main.run --agent_name CORE-Agent -A model_name=o3-2025-04-16 --vm --max_concurrent 5,CORE-Agent,o3-2025-04-16,0.24444444444444444,602.36698,"[401.079235, 319.852655, 371.841102, 381.815831, 306.322603, 285.679377, 413.750374, 293.457212, 72.606895, 247.550838, 301.120901, 226.914729, 346.176257, 177.651543, 223.651001, 387.415969, 222.030793, 289.449975, 159.381212, 420.50297, 95.135024, 298.751565, 328.144157, 184.221286, 364.393195, 38.309588, 218.885325, 252.753572, 228.275371, 293.478939, 277.033012, 80.032934, 356.944987, 217.544061, 188.400415, 199.985568, 295.671398, 341.046262, 431.035179, 274.553746, 456.708296, 256.194712, 41.960843, 328.001186, 302.177822]",271.06422033333337
CORE-Agent,corebench_hard,2025-04-19,corebench_hard_coreagent_1744922373,"{'model_name': 'together_ai/deepseek-ai/DeepSeek-R1', 'benchmark_name': 'corebench_hard'}",hal-eval --benchmark corebench_hard --agent_dir agents/core_agent/ --agent_function main.run --agent_name CORE-Agent -A model_name=together_ai/deepseek-ai/DeepSeek-R1 --vm --max_concurrent 2 --continue_run --run_id corebench_hard_coreagent_1744922373,CORE-Agent,deepseek-ai/DeepSeek-R1,0.08888888888888889,127.565503,"[285.581572, 1282.934955, 693.22219, 476.594645, 292.763553, 557.193398, 1030.272295, 189.956703, 257.898598, 441.54842, 1411.213285, 948.082628, 592.99357, 304.679104, 912.645023, 941.546286, 1153.893465, 641.037009, 276.595942, 829.08311, 201.100491, 515.213223, 1420.758568, 268.779213, 552.217091, 327.059915, 366.881135, 5672.819745, 2780.579077, 3908.242177, 1526.037534, 12880.969918, 212.408233, 171.327712, 758.280769, 2153.311273, 270.115969, 557.954273, 90.903814, 16176.185332, 265.379301, 293.111779, 312.843332, 628.099341]",1496.1435219545453
HAL Generalist Agent (o3-2025-04-16),scienceagentbench,2025-05-04,scienceagentbench_hal_generalist_agent_o320250416_1746110877,"{'model_name': 'o3-2025-04-16', 'budget': 1.0, 'benchmark_name': 'scienceagentbench'}",hal-eval --benchmark scienceagentbench --agent_dir agents/hal_generalist_agent/ --agent_function main.run --agent_name HAL Generalist Agent (o3-2025-04-16) -A model_name=o3-2025-04-16 --max_concurrent 5 -A budget=1.0 --continue_run --run_id scienceagentbench_hal_generalist_agent_o320250416_1746110877,HAL Generalist Agent,o3-2025-04-16,0.09803921568627451,155.41830000000002,"[132.916175, 115.903629, 94.979433, 93.497383, 198.597654, 184.807839, 105.595116, 156.978788, 84.378298, 155.766762, 106.857344, 105.216196, 205.916629, 184.828546, 140.006632, 110.643424, 114.91608, 100.809831, 154.080913, 135.211924, 101.698545, 168.87604, 177.10238, 103.338994, 163.430349, 109.091275, 164.416177, 165.107002, 97.570866, 153.287522, 79.612738, 127.595792, 119.834303, 213.517866, 105.941644, 142.922558, 188.794273, 69.890486, 108.642546, 194.503957, 89.719258, 115.189141, 100.966814, 163.332843, 181.325266, 119.354432, 128.401296, 148.403356, 110.863065, 107.082064, 102.067026, 94.687602, 134.512444, 121.952143, 121.657314, 108.665047, 128.527272, 211.123033, 115.145639, 174.638298, 132.438906, 118.385509, 117.126857, 92.228803, 72.628792, 155.092789, 90.84916, 92.625359, 147.041455, 116.163798, 106.550197, 138.797605, 167.576129, 122.36455, 154.857335, 175.034467, 145.319941, 94.014225, 789.861367, 115.643333, 139.399701, 205.143714, 133.575884, 82.089106, 55.731141, 95.198329, 77.826756, 93.620954, 199.253836, 109.516428, 138.405481, 237.914491, 78.187416, 101.435816, 184.408747, 161.627854, 118.785205, 260.246882, 185.094303, 183.612676, 152.090708, 123.645458]",139.96185024509805
HAL Generalist Agent (claude-3-7-sonnet-2025-02-19),scienceagentbench,2025-05-04,scienceagentbench_hal_generalist_agent_claude37sonnet20250219_1746110849,"{'model_name': 'claude-3-7-sonnet-20250219', 'budget': 1.0, 'benchmark_name': 'scienceagentbench'}",hal-eval --benchmark scienceagentbench --agent_dir agents/hal_generalist_agent/ --agent_function main.run --agent_name HAL Generalist Agent (claude-3-7-sonnet-20250219) -A model_name=claude-3-7-sonnet-20250219 --max_concurrent 1 -A budget=1.0 --continue_run --run_id scienceagentbench_hal_generalist_agent_claude37sonnet20250219_1746110849,HAL Generalist Agent,claude-3-7-sonnet-2025-02-19,0.10784313725490197,41.219199,"[304.304824, 94.63098, 228.569749, 143.002412, 762.937517, 69.403719, 137.583138, 127.868453, 95.34236, 80.537563, 100.51615, 94.912956, 95.307896, 71.781037, 78.015687, 104.756856, 245.231842, 104.338569, 100.562219, 64.183872, 97.053998, 77.506186, 153.622227, 175.733661, 90.795385, 74.248737, 105.87461, 115.129502, 197.295212, 138.076479, 109.876294, 95.996099, 85.609317, 137.769429, 137.809069, 106.567455, 88.825337, 114.438961, 96.417625, 98.807608, 124.610339, 126.259284, 115.600229, 63.988849, 145.109039, 134.987079, 167.377634, 81.456604, 74.471685, 60.898196, 98.599054, 75.679852, 76.978123, 89.346495, 94.402813, 88.763634, 93.923576, 188.921116, 147.899695, 76.77414, 83.781448, 77.670907, 203.970712, 48.816331, 64.151164, 79.181222, 141.540405, 77.906311, 145.001107, 200.005205, 119.731835, 65.122144, 117.482479, 82.141331, 114.980277, 199.975953, 132.982845, 107.924401, 102.604221, 129.12856, 93.784705, 125.358084, 233.229198, 167.633415, 131.300395, 188.053374, 79.972324, 181.407424, 92.0001, 178.967176, 123.743568, 156.423469, 99.819089, 192.381227, 796.204119, 72.321558, 124.083108, 118.631563, 166.932584, 161.966162, 188.70789, 169.63057]",133.96018025490199
Browser-Use(gpt-4.1-2025-04-14),online_mind2web,2025-05-02,browser-use_gpt-4.1-2025-04-14,"{'model_name': 'gpt-4.1-2025-04-14', 'evaluator_webjudge_model_name': 'o4-mini-2025-04-16', 'max_steps': 30, 'benchmark_name': 'online_mind2web'}",hal-eval --benchmark online_mind2web --agent_dir agents/browser-use --agent_function main.run --agent_name Browser-Use(gpt-4.1-2025-04-14) -A model_name=gpt-4.1-2025-04-14 -A evaluator_webjudge_model_name=o4-mini-2025-04-16 -A max_steps=30 -A reasoning_effort=high --run_id browser-use_gpt-4.1-2025-04-14 --max_concurrent 1 --continue_run,Browser-Use,gpt-4.1-2025-04-14,0.36333333333333334,236.61990612000002,"[88.418153, 33.936007, 0.001442, 227.477455, 0.001413, 0.00139, 0.001271, 277.316447, 177.834523, 1851.180332, 93.442949, 296.411275, 221.128687, 196.188548, 68.862808, 46.733028, 545.135633, 190.720636, 31.346907, 65.789882, 32.782626, 46.366773, 227.181472, 256.954594, 70.550136, 273.774453, 99.813595, 174.334107, 369.113493, 124.119292, 195.440118, 71.937127, 143.680979, 334.435689, 90.315136, 42.35252, 54.210952, 596.168978, 373.466175, 74.063385, 148.251162, 82.567865, 75.684987, 51.562478, 330.982959, 143.061312, 624.018346, 397.828482, 80.118135, 64.543307, 240.118205, 113.007983, 222.523647, 185.729558, 229.276147, 48.45789, 256.781481, 111.511577, 247.694663, 90.779818, 74.045408, 428.094883, 458.420145, 189.153372, 112.825648, 43.827921, 57.167084, 232.125227, 83.428587, 73.252512, 31.403838, 956.944861, 163.056784, 90.024447, 142.532487, 41.672315, 178.39423, 832.535439, 202.650174, 408.387597, 91.927749, 289.917468, 75.020905, 300.242188, 224.760388, 120.651655, 136.366288, 2814.015668, 326.06098, 220.636402, 701.415638, 97.601601, 82.591221, 64.586494, 56.256547, 127.813187, 56.22076, 140.462568, 69.733358, 198.454121, 1454.005985, 67.529118, 66.553689, 169.595554, 265.063918, 94.759324, 122.996694, 59.934547, 210.66984, 204.465509, 258.667017, 378.654531, 259.340931, 180.039414, 199.201211, 300.468376, 365.439844, 98.260598, 63.726125, 46.271073, 73.416942, 62.80361, 32.137489, 68.732833, 71.829237, 93.555974, 46.753032, 63.758539, 339.140433, 152.00798, 78.969319, 80.123885, 183.907123, 242.19116, 158.167399, 111.794015, 44.447456, 177.580747, 133.238473, 115.651859, 69.849687, 31.160389, 193.179336, 142.805817, 70.957507, 353.064351, 399.315703, 74.774927, 163.144449, 51.08876, 45.13129, 94.085473, 62.699799, 108.347561, 64.250418, 44.971091, 94.69762, 193.673959, 55.670478, 62.997145, 62.075703, 41.250938, 1226.816991, 69.731954, 419.474393, 149.692875, 143.81973, 393.300729, 58.555631, 164.46173, 39.653533, 75.264777, 51.637781, 412.697832, 113.446114, 155.599937, 30.331829, 62.544036, 101.977363, 107.153723, 937.266567, 80.702542, 35.742647, 159.744537, 135.857624, 57.99064, 201.447558, 76.787029, 444.741135, 39.855223, 51.809293, 460.119681, 66.361273, 74.606851, 332.770112, 133.070787, 46.190866, 34.162017, 66.379997, 65.206202, 63.621303, 267.107901, 68.047393, 25.041304, 273.702608, 377.812209, 87.523869, 123.284667, 49.917509, 203.213923, 33.706101, 396.172463, 167.701025, 66.102424, 90.114825, 80.766254, 45.751008, 40.074749, 58.458816, 328.784886, 57.983171, 133.370711, 44.291396, 76.032582, 980.661757, 52.338933, 41.236297, 25.203503, 91.110634, 690.79308, 99.429039, 258.013378, 102.258144, 477.007349, 85.117356, 34.900189, 559.679686, 348.764962, 35.512715, 447.343151, 375.066251, 200.536291, 153.96544, 82.608561, 155.618703, 86.156821, 165.365768, 339.117211, 92.472433, 352.304228, 55.743938, 106.162797, 33.305257, 77.004863, 156.13062, 50.948369, 61.402313, 48.983807, 362.020741, 389.993818, 96.284276, 206.126692, 150.25764, 116.572634, 58.913821, 879.516972, 52.801028, 113.596262, 47.813883, 94.870198, 236.136907, 36.981913, 90.422403, 362.352873, 69.033216, 43.507711, 91.932044, 26.120787, 52.960783, 121.939187, 41.454343, 53.124595, 129.961847, 109.746454, 44.11325, 32.311761, 88.026256, 152.911945, 77.031932, 85.783752, 97.467172, 113.740543, 229.662447, 157.841134, 35.763202, 94.29246, 101.457792, 31.410077, 105.084534, 57.146149]",184.57839883666668
Col-bench Text (gemini-2.0-flash),colbench_frontend_design,2025-04-19,colbench_frontend_design_colbench_text_gemini_1745102439,"{'model_name': 'gemini-2.0-flash', 'cache_path': '/fsx-ram/yifeizhou/collab_llm/driver_cache/', 'benchmark_name': 'colbench_frontend_design'}",hal-eval --benchmark colbench_frontend_design --agent_dir agents/colbench_example_agent --agent_name colbench_text_gemini --agent_function main.run -A model_name=gemini-2.0-flash --max_concurrent 10 -A cache_path=/fsx-ram/yifeizhou/collab_llm/driver_cache/,Col-bench Text,gemini-2.0-flash,0.8164620268344879,2.6645343,"[65.915775, 50.012512, 43.832044, 92.306751, 14.954301, 18.321323, 11.944017, 15.614388, 11.49653, 70.149138, 50.476927, 23.674619, 44.911785, 17.719009, 51.635934, 18.717262, 89.521419, 14.964673, 73.713515, 57.274255, 13.252132, 21.222323, 58.908525, 57.772707, 32.055784, 38.539042, 67.081071, 23.645798, 13.349532, 41.356918, 96.374292, 68.106338, 47.91771, 52.647409, 52.622757, 36.946646, 33.159849, 58.139406, 16.607071, 16.687689, 13.740573, 12.033578, 12.435451, 14.993841, 15.141065, 15.150572, 13.370866, 61.156774, 58.135111, 40.580407, 56.07774, 33.025948, 13.967117, 13.445552, 51.330637, 14.380457, 42.502997, 54.426601, 11.074822, 41.396544, 54.595413, 38.824173, 45.394759, 13.631369, 14.233737, 13.021944, 25.437748, 53.579991, 47.06495, 30.239487, 63.742463, 36.125727, 19.160114, 65.153188, 77.131919, 14.749139, 18.620428, 48.504208, 48.001126, 16.469596, 14.111982, 52.139776, 12.890176, 16.584043, 73.732444, 40.169108, 34.504535, 18.472526, 59.598249, 12.356773, 13.789596, 12.533942, 42.402876, 26.13705, 24.843907, 23.796544, 19.390498, 12.786187, 12.140836, 10.729243]",35.48707599000001
HAL Generalist Agent,corebench_hard,2025-05-14,corebench_hard_hal_generalist_agent_1747201030,"{'model_name': 'gemini/gemini-2.0-flash', 'budget': 4, 'benchmark_name': 'corebench_hard'}",hal-eval --benchmark corebench_hard --agent_dir agents/hal_generalist_agent/ --agent_function main.run --agent_name HAL Generalist Agent -A model_name=gemini/gemini-2.0-flash -A budget=4 --vm --max_concurrent 2,HAL Generalist Agent,gemini-2.0-flash,0.06666666666666667,17.6822214,"[66.764049, 372.665066, 73.596231, 78.283255, 122.27574, 75.797029, 306.070685, 31.052983, 11.06288, 319.421047, 475.622197, 162.948197, 149.620895, 117.213782, 102.915268, 395.976528, 241.19428, 140.332952, 152.661845, 130.912886, 773.880936, 283.585358, 27.029535, 1978.886451, 1486.428386, 32.284443, 130.780548, 86.860472, 540.242424, 2513.483516, 68.539062, 106.414135, 148.752717, 11.350481, 41.715296, 83.615526, 47.10888, 741.561858, 165.920275, 589.476446, 252.461413, 523.592076, 1255.456165, 1533.89949, 101.894783]",378.92463260000005
HF Open Deep Research (o4-mini-2025-04-16 low),gaia,2025-04-17,gaia_hf_open_deep_research_o4mini20250416_low_1744921254,"{'model_name': 'o4-mini-2025-04-16', 'reasoning_effort': 'low', 'benchmark_name': 'gaia'}",hal-eval --benchmark gaia --agent_dir agents/open_deep_research/ --agent_function main.run --agent_name HF Open Deep Research (o4-mini-2025-04-16 low) -A model_name=o4-mini-2025-04-16 -A reasoning_effort=low --max_concurrent 5 --continue_run --run_id gaia_hf_open_deep_research_o4mini20250416_low_1744921254,HF Open Deep Research,o4-mini-2025-04-16 low,0.47878787878787876,80.79979600000001,"[361.797309, 375.827634, 314.712919, 358.237721, 114.634874, 88.107556, 88.504797, 56.984605, 168.950637, 66.672016, 21.787816, 252.117553, 64.630015, 54.071033, 19.15968, 142.431683, 5.794961, 159.939473, 85.634538, 56.614289, 61.36077, 119.125009, 375.573579, 25.689251, 29.57743, 78.043592, 36.334197, 64.506633, 197.144867, 108.507083, 250.139618, 20.89185, 90.316871, 111.033949, 154.527336, 139.009351, 95.722282, 41.673899, 112.777165, 27.990562, 580.690607, 17.562214, 18.447329, 159.822668, 291.691571, 189.199893, 87.033807, 147.016045, 139.423782, 56.969674, 268.172945, 17.304069, 55.988918, 261.328202, 258.943414, 228.633046, 51.059042, 82.937857, 855.588269, 62.147125, 238.82812, 137.581787, 39.046951, 408.600016, 58.037381, 59.441644, 223.013537, 101.809461, 156.215147, 11.683941, 125.354705, 117.325725, 124.772493, 263.931432, 64.93443, 44.183397, 13.04892, 13.653361, 84.812181, 305.930034, 28.232503, 268.364398, 44.640643, 4.05472, 181.060902, 68.661143, 304.602358, 123.650993, 142.081218, 35.002201, 7.97934, 15.027518, 59.248759, 64.063331, 481.461039, 95.635879, 156.922865, 462.668466, 177.430459, 98.146535, 18.840164, 52.574678, 291.315284, 41.016894, 25.380115, 23.391218, 224.193312, 13.370475, 28.014668, 85.512422, 148.869425, 140.327171, 34.474549, 389.458351, 96.527421, 104.862344, 7.553475, 28.337165, 176.794199, 119.847263, 216.59333, 228.066974, 101.911815, 147.464633, 39.921046, 12.549181, 73.74475, 277.965874, 179.333662, 43.48965, 70.603688, 210.593782, 248.692513, 5.772266, 129.71731, 19.100047, 74.134406, 117.979036, 177.806299, 125.942963, 21.979916, 280.954537, 405.207186, 121.149197, 48.165764, 66.296799, 247.650933, 214.916498, 128.891921, 124.292418, 46.823473, 115.407536, 188.017099, 44.717097, 194.016046, 115.599142, 46.020602, 108.397168, 174.680373, 122.553531, 141.311547, 128.260216, 81.526418, 32.450548]",134.07918656097561
SAB Example Agent (o3-2025-04-16),scienceagentbench,2025-04-21,scienceagentbench_sab_selfdebug_o3_medium_1745186112,"{'model_name': 'o3-2025-04-16', 'max_tokens': 100000, 'reasoning_effort': 'medium', 'use_self_debug': True, 'use_knowledge': False, 'benchmark_name': 'scienceagentbench'}",hal-eval --benchmark scienceagentbench --agent_dir agents/sab_example_agent/ --agent_function main.run --agent_name SAB Self-Debug o3 medium -A model_name=o3-2025-04-16 -A max_tokens=100000 -A reasoning_effort=medium -A use_self_debug=True -A use_knowledge=False --max_concurrent 10 --docker --run_id scienceagentbench_sab_selfdebug_o3_medium_1745186112 --continue_run,SAB Example Agent,o3-2025-04-16,0.3333333333333333,58.440180000000005,"[376.816316, 121.379651, 71.894563, 0.035613, 0.035429, 587.788502, 555.978552, 283.084576, 156.337814, 113.199619, 79.147182, 112.236886, 84.827395, 147.18773, 0.036311, 0.036457, 0.037317, 0.053666, 0.037146, 0.039632, 0.037802, 52.183006, 106.155865, 86.528624, 65.588085, 52.244797, 482.391707, 0.050338, 0.052994, 0.129956, 317.889494, 388.960872, 392.315354, 149.876107, 138.182771, 374.578193, 0.040504, 178.94008, 0.035713, 213.080505, 0.037173, 0.036433, 0.036377, 0.037245, 0.03666, 0.03748, 0.062973, 0.040201, 400.506453, 296.120362, 243.304601, 98.565106, 75.207253, 0.037808, 0.068573, 502.843388, 0.06465, 0.109543, 45.033937, 0.120018, 150.876244, 28.020992, 0.03595, 0.035975, 0.035432, 57.704676, 0.036911, 0.035812, 0.03603, 0.052704, 0.036602, 0.03689, 0.035725, 170.326846, 0.036065, 107.505576, 0.036721, 79.811817, 83.7994, 0.036627, 0.184467, 0.128833, 0.121581, 100.697086, 42.828406, 0.036316, 0.035486, 0.036683, 0.035636, 0.036658, 0.06062, 0.037161, 71.271362, 51.01143, 0.035887, 0.035615, 0.035511, 0.035778, 0.11929, 0.058285, 0.058473, 0.03944]",81.34541526470588
HAL Generalist Agent (Sonnet 3.7),colbench_frontend_design,2025-05-22,colbench_frontend_design_halgeneralist_frontend_sonnet37_1747887984,"{'model_name': 'claude-3-7-sonnet-20250219', 'budget': 1000, 'benchmark_name': 'colbench_frontend_design'}",hal-eval --benchmark colbench_frontend_design --agent_dir agents/hal_generalist_agent --agent_name halgeneralist_frontend_sonnet37 --agent_function main.run -A model_name=claude-3-7-sonnet-20250219 -A budget=1000 --max_concurrent 2 --continue_run --run_id colbench_frontend_design_halgeneralist_frontend_sonnet37_1747887984,HAL Generalist Agent,claude-3-7-sonnet-2025-02-19,0.693178778886795,104.84106100000001,"[296.865588, 229.169194, 242.511478, 127.08569, 444.735101, 294.072741, 254.053557, 525.241663, 409.997044, 420.570213, 199.756303, 147.750472, 476.084965, 323.513586, 475.817292, 303.774893, 208.818523, 297.644227, 498.64115, 449.502281, 502.306875, 535.642447, 402.840916, 472.959717, 208.681575, 297.554057, 388.430122, 293.569337, 382.227236, 381.933476, 545.760513, 368.75431, 188.785877, 368.476868, 357.437169, 397.97937, 305.001409, 499.884795, 155.110673, 232.603225, 278.935238, 180.846545, 219.514084, 333.737688, 442.714752, 201.233445, 341.709145, 187.327007, 263.176488, 456.752344, 327.205252, 290.248153, 506.079492, 468.420362, 317.330719, 267.70998, 222.291717, 213.614311, 248.13468, 339.676442, 505.635166, 351.500061, 271.595372, 217.165956, 225.941584, 136.862804, 469.313121, 328.779834, 241.948532, 257.94884, 332.316763, 379.727558, 160.829696, 135.458104, 357.344845, 170.021981, 196.700938, 246.49666, 283.921844, 167.308157, 216.490157, 192.57674, 311.500816, 527.023188, 323.133034, 299.545519, 278.418751, 290.668224, 491.873577, 250.30583, 403.703493, 174.203783, 199.820334, 162.921131, 439.940128, 403.224655, 457.00623, 197.241196, 376.163409, 187.459136]",316.38240919
