Benchmark,AUC
colbench_backend_programming,15.391277711299999
colbench_frontend_design,58.328801819176384
gaia,38.596766030808084
scicode,14.327478388546995
scienceagentbench,16.84076150539216
swebench_verified_mini,80.20274361359999
taubench_airline,13.687265581444443
usaco,6.730327925081432
