Benchmark,AUC
assistantbench,0.0
colbench_frontend_design,0.0
corebench_hard,0.003718762897695899
gaia,0.002679510714958093
scicode,0.0
scienceagentbench,0.0
swebench_verified_mini,0.00029779701776805475
taubench_airline,0.002194109049209792
usaco,0.010015441383058047
colbench_backend_programming,0.0
